waypoint,kind,east_m,north_m,lat,lon,yaw_rad,lookahead_m,speed_mps,local_radius_m
78,headland,0.542,-31.130,40.485345986,-80.332418802,3.464755,2.00,0.50,
79,headland,0.084,-31.283,40.485344599,-80.332424213,3.464755,2.00,0.50,
80,headland,-0.375,-31.436,40.485343211,-80.332429624,3.464755,2.00,0.50,
81,headland,-0.833,-31.590,40.485341823,-80.332435034,3.464755,2.00,0.50,
82,headland,-1.291,-31.743,40.485340435,-80.332440445,3.464755,2.00,0.50,
83,headland,-1.749,-31.897,40.485339047,-80.332445855,3.464755,2.00,0.50,
84,headland,-2.207,-32.050,40.485337659,-80.332451266,3.464755,2.00,0.50,
85,headland,-2.665,-32.203,40.485336271,-80.332456676,3.464755,2.00,0.50,
86,headland,-3.123,-32.357,40.485334883,-80.332462087,3.464755,2.00,0.50,
87,headland,-3.581,-32.510,40.485333496,-80.332467498,3.464755,2.00,0.50,
88,headland,-4.039,-32.664,40.485332108,-80.332472908,3.464755,2.00,0.50,
89,headland,-4.497,-32.817,40.485330720,-80.332478319,3.464755,2.00,0.50,
90,headland,-4.955,-32.971,40.485329332,-80.332483729,3.464755,2.00,0.50,
91,headland,-5.414,-33.124,40.485327944,-80.332489140,3.464755,2.00,0.50,
92,headland,-5.872,-33.277,40.485326556,-80.332494550,3.464755,2.00,0.50,
93,headland,-6.330,-33.431,40.485325168,-80.332499961,3.415154,2.00,0.50,6.770
94,headland,-6.511,-33.482,40.485324708,-80.332502103,3.315952,2.00,0.50,1.900
95,headland,-6.697,-33.514,40.485324412,-80.332504295,3.216751,2.00,0.50,1.900
96,headland,-6.885,-33.529,40.485324284,-80.332506514,3.117549,2.00,0.50,1.900
97,headland,-7.073,-33.524,40.485324325,-80.332508739,3.018347,2.00,0.50,1.900
98,headland,-7.260,-33.501,40.485324535,-80.332510947,2.919145,2.00,0.50,1.900
99,headland,-7.444,-33.459,40.485324911,-80.332513117,2.819944,2.00,0.50,1.900
100,headland,-7.622,-33.400,40.485325449,-80.332515229,2.720742,2.00,0.50,1.900
101,headland,-7.794,-33.323,40.485326146,-80.332517260,2.621540,2.00,0.50,1.900
102,headland,-7.958,-33.229,40.485326993,-80.332519191,2.522338,2.00,0.50,1.900
103,headland,-8.111,-33.120,40.485327982,-80.332521003,2.423136,2.00,0.50,1.900
104,headland,-8.253,-32.996,40.485329104,-80.332522678,2.323935,2.00,0.50,1.900
105,headland,-8.382,-32.858,40.485330347,-80.332524200,2.224733,2.00,0.50,1.900
106,headland,-8.497,-32.709,40.485331700,-80.332525554,2.125531,2.00,0.50,1.900
107,headland,-8.596,-32.549,40.485333149,-80.332526726,2.026329,2.00,0.50,1.900
108,headland,-8.679,-32.379,40.485334680,-80.332527705,1.927128,2.00,0.50,1.900
109,headland,-8.744,-32.203,40.485336277,-80.332528481,1.877527,2.00,0.50,6.839
110,headland,-8.892,-31.736,40.485340502,-80.332530228,1.877527,2.00,0.50,
111,headland,-9.040,-31.269,40.485344727,-80.332531975,1.877527,2.00,0.50,
112,headland,-9.188,-30.802,40.485348953,-80.332533723,1.877527,2.00,0.50,
113,headland,-9.336,-30.335,40.485353178,-80.332535470,1.877527,2.00,0.50,
114,headland,-9.484,-29.868,40.485357403,-80.332537217,1.877527,2.00,0.50,
115,headland,-9.632,-29.401,40.485361628,-80.332538964,1.877527,2.00,0.50,
116,headland,-9.780,-28.933,40.485365853,-80.332540711,1.877527,2.00,0.50,
117,headland,-9.928,-28.466,40.485370079,-80.332542459,1.877527,2.00,0.50,
118,headland,-10.076,-27.999,40.485374304,-80.332544206,1.877527,2.00,0.50,
119,headland,-10.224,-27.532,40.485378529,-80.332545953,1.877527,2.00,0.50,
120,headland,-10.372,-27.065,40.485382754,-80.332547700,1.877527,2.00,0.50,
121,headland,-10.520,-26.598,40.485386979,-80.332549447,1.877527,2.00,0.50,
122,headland,-10.668,-26.131,40.485391205,-80.332551194,1.877527,2.00,0.50,
123,headland,-10.815,-25.664,40.485395430,-80.332552942,1.877527,2.00,0.50,
124,headland,-10.963,-25.197,40.485399655,-80.332554689,1.877527,2.00,0.50,
125,headland,-11.111,-24.730,40.485403880,-80.332556436,1.877527,2.00,0.50,
126,headland,-11.259,-24.263,40.485408105,-80.332558183,1.877527,2.00,0.50,
127,headland,-11.407,-23.796,40.485412331,-80.332559930,1.877527,2.00,0.50,
128,headland,-11.555,-23.329,40.485416556,-80.332561678,1.877527,2.00,0.50,
129,headland,-11.703,-22.862,40.485420781,-80.332563425,1.877527,2.00,0.50,
130,headland,-11.851,-22.395,40.485425006,-80.332565172,1.877527,2.00,0.50,
131,headland,-11.999,-21.928,40.485429231,-80.332566919,1.877527,2.00,0.50,
132,headland,-12.147,-21.461,40.485433457,-80.332568666,1.877527,2.00,0.50,
133,headland,-12.295,-20.994,40.485437682,-80.332570414,1.877527,2.00,0.50,
134,headland,-12.443,-20.526,40.485441907,-80.332572161,1.877527,2.00,0.50,
135,headland,-12.591,-20.059,40.485446132,-80.332573908,1.877527,2.00,0.50,
136,headland,-12.739,-19.592,40.485450358,-80.332575655,1.877527,2.00,0.50,
137,headland,-12.886,-19.125,40.485454583,-80.332577402,1.877527,2.00,0.50,
138,headland,-13.034,-18.658,40.485458808,-80.332579149,1.877527,2.00,0.50,
139,headland,-13.182,-18.191,40.485463033,-80.332580897,1.877527,2.00,0.50,
140,headland,-13.330,-17.724,40.485467258,-80.332582644,1.877527,2.00,0.50,
141,headland,-13.478,-17.257,40.485471484,-80.332584391,1.877527,2.00,0.50,
142,headland,-13.626,-16.790,40.485475709,-80.332586138,1.877527,2.00,0.50,
143,headland,-13.774,-16.323,40.485479934,-80.332587885,1.877527,2.00,0.50,
144,headland,-13.922,-15.856,40.485484159,-80.332589633,1.877527,2.00,0.50,
145,headland,-14.070,-15.389,40.485488384,-80.332591380,1.877527,2.00,0.50,
146,headland,-14.218,-14.922,40.485492610,-80.332593127,1.877527,2.00,0.50,
147,headland,-14.366,-14.455,40.485496835,-80.332594874,1.877527,2.00,0.50,
148,headland,-14.514,-13.988,40.485501060,-80.332596621,1.877527,2.00,0.50,
149,headland,-14.662,-13.521,40.485505285,-80.332598369,1.877527,2.00,0.50,
150,headland,-14.810,-13.054,40.485509510,-80.332600116,1.877527,2.00,0.50,
151,headland,-14.957,-12.587,40.485513736,-80.332601863,1.877527,2.00,0.50,
152,headland,-15.105,-12.120,40.485517961,-80.332603610,1.877527,2.00,0.50,
153,headland,-15.253,-11.652,40.485522186,-80.332605357,1.877527,2.00,0.50,
154,headland,-15.401,-11.185,40.485526411,-80.332607105,1.877527,2.00,0.50,
155,headland,-15.549,-10.718,40.485530636,-80.332608852,1.877527,2.00,0.50,
156,headland,-15.697,-10.251,40.485534862,-80.332610599,1.877527,2.00,0.50,
157,headland,-15.845,-9.784,40.485539087,-80.332612346,1.877527,2.00,0.50,
158,headland,-15.993,-9.317,40.485543312,-80.332614093,1.877527,2.00,0.50,
159,headland,-16.141,-8.850,40.485547537,-80.332615840,1.877527,2.00,0.50,
160,headland,-16.289,-8.383,40.485551763,-80.332617588,1.877527,2.00,0.50,
